PharmGKB Accession Id	NCBI Gene ID	HGNC ID	Ensembl Id	Name	Symbol	Alternate Names	Alternate Symbols	Is VIP	Has Variant Annotation	Cross-references	Has CPIC Dosing Guideline	Chromosome	Chromosomal Start - GRCh37	Chromosomal Stop - GRCh37	Chromosomal Start - GRCh38	Chromosomal Stop - GRCh38
PA134968341	151888	HGNC:21087	ENSG00000186265	B and T lymphocyte associated	BTLA		BTLA1, CD272	Yes	No	Ensembl:ENSG00000186265, GeneCard:BTLA, HGNC:HGNC:21087, ModBase:Q7Z6A9, NCBI Gene:151888, OMIM:607925, RefSeq DNA:NT_005612, RefSeq Protein:NP_001078826, RefSeq Protein:NP_861445, RefSeq RNA:NM_001085357, RefSeq RNA:NM_181780, UniProtKB:Q3HS85, UniProtKB:Q7Z6A9	No	chr3	112182813	112218438	112458790	112499756
PA25455	696	HGNC:1135	ENSG00000124557	butyrophilin subfamily 1 member A1	BTN1A1	butyrophilin, subfamily 1, member A1	BT, BTN, BTN1	Yes	No	Ensembl:ENSG00000124557, GenAtlas:BTN1A1, GeneCard:BTN1A1, HGNC:HGNC:1135, HumanCyc Gene:HS04791, ModBase:Q13410, NCBI Gene:696, OMIM:601610, RefSeq DNA:NT_007592, RefSeq Protein:NP_001723, RefSeq RNA:NM_001732, UCSC Genome Browser:NM_001732, UniProtKB:Q13410, UniProtKB:Q4VAN2	No	chr6	26500577	26510653	26499290	26510425
PA25456	11120	HGNC:1136	ENSG00000112763	butyrophilin subfamily 2 member A1	BTN2A1	butyrophilin, subfamily 2, member A1	BT2.1, BTF1, BTN2.1	Yes	No	Ensembl:ENSG00000112763, GenAtlas:BTN2A1, GeneCard:BTN2A1, HGNC:HGNC:1136, HumanCyc Gene:HS03618, ModBase:Q7KYR7, NCBI Gene:11120, RefSeq DNA:NT_007592, RefSeq Protein:NP_001184162, RefSeq Protein:NP_001184163, RefSeq Protein:NP_008980, RefSeq Protein:NP_510961, RefSeq RNA:NM_001197233, RefSeq RNA:NM_001197234, RefSeq RNA:NM_007049, RefSeq RNA:NM_078476, UCSC Genome Browser:NM_007049, UniProtKB:Q7KYR7, UniProtKB:Q96AV7	No	chr6	26458132	26476849	26457904	26476621
PA25457	10385	HGNC:1137	ENSG00000124508	butyrophilin subfamily 2 member A2	BTN2A2	butyrophilin, subfamily 2, member A2	BT2.2, BTF2, BTN2.2	Yes	No	Comparative Toxicogenomics Database:10385, Ensembl:ENSG00000124508, GenAtlas:BTN2A2, GeneCard:BTN2A2, HGNC:HGNC:1137, HumanCyc Gene:HS13133, ModBase:Q8WVV5, NCBI Gene:10385, RefSeq DNA:NT_007592, RefSeq Protein:NP_001184166, RefSeq Protein:NP_001184167, RefSeq Protein:NP_001184168, RefSeq Protein:NP_001184169, RefSeq Protein:NP_008926, RefSeq Protein:NP_853509, RefSeq RNA:NM_001197237, RefSeq RNA:NM_001197238, RefSeq RNA:NM_001197239, RefSeq RNA:NM_001197240, RefSeq RNA:NM_006995, RefSeq RNA:NM_181531, UCSC Genome Browser:NM_006995, UniProtKB:A6NM84, UniProtKB:Q8WVV5	No	chr6	26383111	26395102	26382891	26394874
PA25458	54718	HGNC:13229	ENSG00000124549	butyrophilin, subfamily 2, member A3, pseudogene	BTN2A3P			Yes	No	Ensembl:ENSG00000124549, GenAtlas:BTN2A3, GeneCard:BTN2A3P, HGNC:HGNC:13229, HumanCyc Gene:HS13135, ModBase:Q96KV6, NCBI Gene:54718, RefSeq DNA:NT_007592, RefSeq Protein:NP_076923, RefSeq RNA:NM_024018, RefSeq RNA:NR_027795, UCSC Genome Browser:NM_024018	No	chr6	26421619	26430816	26421391	26430588
PA25459	11119	HGNC:1138	ENSG00000026950	butyrophilin subfamily 3 member A1	BTN3A1	butyrophilin, subfamily 3, member A1	BT3.1, BTF5, BTN3.1, CD277	Yes	No	Ensembl:ENSG00000026950, GenAtlas:BTN3A1, GeneCard:BTN3A1, HGNC:HGNC:1138, HumanCyc Gene:HS00454, ModBase:O00481, NCBI Gene:11119, RefSeq DNA:NT_007592, RefSeq Protein:NP_001138480, RefSeq Protein:NP_001138481, RefSeq Protein:NP_008979, RefSeq Protein:NP_919423, RefSeq RNA:NM_001145008, RefSeq RNA:NM_001145009, RefSeq RNA:NM_007048, RefSeq RNA:NM_194441, UCSC Genome Browser:NM_007048, UniProtKB:A8K547, UniProtKB:B4DIQ1, UniProtKB:B4DRM2, UniProtKB:O00481	No	chr6	26402465	26415444	26402237	26415216
PA25460	11118	HGNC:1139	ENSG00000186470	butyrophilin subfamily 3 member A2	BTN3A2	butyrophilin, subfamily 3, member A2	BTN3.2	Yes	No	Ensembl:ENSG00000186470, GenAtlas:BTN3A2, GeneCard:BTN3A2, HGNC:HGNC:1139, HumanCyc Gene:HS03469, ModBase:P78410, NCBI Gene:11118, RefSeq DNA:NT_007592, RefSeq Protein:NP_001184175, RefSeq Protein:NP_001184176, RefSeq Protein:NP_001184177, RefSeq Protein:NP_001184178, RefSeq Protein:NP_008978, RefSeq RNA:NM_001197246, RefSeq RNA:NM_001197247, RefSeq RNA:NM_001197248, RefSeq RNA:NM_001197249, RefSeq RNA:NM_007047, UCSC Genome Browser:NM_007047, UniProtKB:P78410	No	chr6	26365387	26378548	26365159	26451697
PA25461	10384	HGNC:1140	ENSG00000111801	butyrophilin subfamily 3 member A3	BTN3A3	butyrophilin, subfamily 3, member A3	BTF3, BTN3.3	Yes	No	Comparative Toxicogenomics Database:10384, Ensembl:ENSG00000111801, GenAtlas:BTN3A3, GeneCard:BTN3A3, HGNC:HGNC:1140, HumanCyc Gene:HS04792, ModBase:O00478, NCBI Gene:10384, RefSeq DNA:NT_007592, RefSeq Protein:NP_001229732, RefSeq Protein:NP_008925, RefSeq Protein:NP_932078, RefSeq RNA:NM_001242803, RefSeq RNA:NM_006994, RefSeq RNA:NM_197974, UCSC Genome Browser:NM_006994, UniProtKB:B4DWI7, UniProtKB:O00478	No	chr6	26440700	26453643	26440472	26453415
PA166049085	100129094	HGNC:42540	ENSG00000215811	butyrophilin-like 10	BTNL10			Yes	No	Ensembl:ENSG00000215811, HGNC:HGNC:42540, NCBI Gene:100129094	No	chr1	228698060	228699699	228508026	228514040
PA25463	56244	HGNC:1142	ENSG00000204290, ENSG00000224770, ENSG00000226127, ENSG00000229597, ENSG00000229741	butyrophilin like 2	BTNL2	butyrophilin-like 2 (MHC class II associated)	BTL-II, BTN7, HSBLMHC1	Yes	No	Comparative Toxicogenomics Database:56244, Ensembl:ENSG00000204290, Ensembl:ENSG00000224770, Ensembl:ENSG00000226127, Ensembl:ENSG00000229597, Ensembl:ENSG00000229741, GenAtlas:BTNL2, GeneCard:BTNL2, HGNC:HGNC:1142, ModBase:Q5SU36, NCBI Gene:56244, OMIM:181000, OMIM:606000, OMIM:612387, RefSeq DNA:NT_007592, RefSeq DNA:NT_113891, RefSeq DNA:NT_167244, RefSeq DNA:NT_167245, RefSeq DNA:NT_167246, RefSeq DNA:NT_167247, RefSeq DNA:NT_167248, RefSeq DNA:NT_167249, RefSeq Protein:NP_062548, RefSeq RNA:NM_019602, UCSC Genome Browser:NM_019602, UniProtKB:Q9UIR0	No	chr6	32362513	32374900	32393339	32408879
PA25464	10917	HGNC:1143	ENSG00000168903	butyrophilin like 3	BTNL3	butyrophilin-like 3, butyrophilin-like receptor	BTN9.1, BTNLR	Yes	No	Ensembl:ENSG00000168903, GenAtlas:BTNL3, GeneCard:BTNL3, HGNC:HGNC:1143, HumanCyc Gene:HS09846, ModBase:Q6UXE8, NCBI Gene:10917, OMIM:606192, RefSeq DNA:NT_023133, RefSeq Protein:NP_932079, RefSeq RNA:NM_197975, UCSC Genome Browser:NM_006707, UniProtKB:Q6UXE8	No	chr5	180415845	180433727	180988845	181006727
PA134918466	79908	HGNC:26131	ENSG00000113303	butyrophilin like 8	BTNL8	butyrophilin-like 8	BTN9.2, FLJ21458	Yes	No	Ensembl:ENSG00000113303, GeneCard:BTNL8, HGNC:HGNC:26131, HumanCyc Gene:HS12792, ModBase:Q6UX41, NCBI Gene:79908, RefSeq DNA:NT_023133, RefSeq Protein:NP_001035552, RefSeq Protein:NP_001153179, RefSeq Protein:NP_001153180, RefSeq Protein:NP_001153181, RefSeq Protein:NP_001153182, RefSeq Protein:NP_079126, RefSeq RNA:NM_001040462, RefSeq RNA:NM_001159707, RefSeq RNA:NM_001159708, RefSeq RNA:NM_001159709, RefSeq RNA:NM_001159710, RefSeq RNA:NM_024850, UniProtKB:A4QMZ8, UniProtKB:B7Z409, UniProtKB:B7Z5B1, UniProtKB:Q6UX41	No	chr5	180326077	180377906	180899077	180952166
PA134945306	153579	HGNC:24176	ENSG00000165810	butyrophilin like 9	BTNL9	butyrophilin-like 9	BTN8, FLJ32535	Yes	No	Comparative Toxicogenomics Database:153579, Ensembl:ENSG00000165810, GeneCard:BTNL9, HGNC:HGNC:24176, HumanCyc Gene:HS15369, ModBase:Q6UXG8, NCBI Gene:153579, RefSeq DNA:NT_023133, RefSeq Protein:NP_689760, RefSeq RNA:NM_152547, UniProtKB:Q6UXG8, UniProtKB:Q8N324	No	chr5	180467203	180488523	181039875	181061525
PA25465	8945	HGNC:1144	ENSG00000166167	beta-transducin repeat containing E3 ubiquitin protein ligase	BTRC		FBXW1A, Fwd1, bTrCP, bTrCP1, beta-TrCP1, betaTrCP	Yes	Yes	Comparative Toxicogenomics Database:8945, Ensembl:ENSG00000166167, GenAtlas:BTRC, GeneCard:BTRC, HGNC:HGNC:1144, HumanCyc Gene:HS08043, ModBase:Q9Y297, NCBI Gene:8945, OMIM:603482, RefSeq DNA:NG_009234, RefSeq DNA:NT_030059, RefSeq Protein:NP_003930, RefSeq Protein:NP_378663, RefSeq RNA:NM_003939, RefSeq RNA:NM_033637, UCSC Genome Browser:NM_003939, UniProtKB:Q5W141, UniProtKB:Q9Y297	No	chr10	103113790	103317078	101353808	101557321
PA81	699	HGNC:1148	ENSG00000169679	BUB1 mitotic checkpoint serine/threonine kinase	BUB1		BUB1A, BUB1L, hBUB1	Yes	No	Comparative Toxicogenomics Database:699, Ensembl:ENSG00000169679, GenAtlas:BUB1, GeneCard:BUB1, HGNC:HGNC:1148, HumanCyc Gene:HS09986, ModBase:O43683, NCBI Gene:699, OMIM:602452, RefSeq DNA:NG_012048, RefSeq DNA:NT_022135, RefSeq Protein:NP_004327, RefSeq RNA:NM_004336, UCSC Genome Browser:NM_004336, UniProtKB:O43683, UniProtKB:Q53QE4	No	chr2	111395275	111435684	110637698	110678107
PA82	701	HGNC:1149	ENSG00000156970	BUB1 mitotic checkpoint serine/threonine kinase B	BUB1B		BUBR1, Bub1A, MAD3L, SSK1	Yes	No	Comparative Toxicogenomics Database:701, Ensembl:ENSG00000156970, GenAtlas:BUB1B, GeneCard:BUB1B, HGNC:HGNC:1149, HumanCyc Gene:HS08163, ModBase:Q59HH6, NCBI Gene:701, OMIM:114500, OMIM:176430, OMIM:257300, OMIM:602860, RefSeq DNA:NG_016338, RefSeq DNA:NT_010194, RefSeq Protein:NP_001202, RefSeq RNA:NM_001211, UCSC Genome Browser:NM_001211, UniProtKB:O60566	No	chr15	40453210	40513337	40161009	40221136
PA25467	9184	HGNC:1151	ENSG00000154473	BUB3 mitotic checkpoint protein	BUB3	"""BUB3 mitotic checkpoint protein"", ""BUB3, mitotic checkpoint protein"""	BUB3L	Yes	No	Comparative Toxicogenomics Database:9184, Ensembl:ENSG00000154473, GenAtlas:BUB3, GeneCard:BUB3, HGNC:HGNC:1151, HumanCyc Gene:HS07981, ModBase:O43684, NCBI Gene:9184, OMIM:603719, RefSeq DNA:NT_030059, RefSeq Protein:NP_001007794, RefSeq Protein:NP_004716, RefSeq RNA:NM_001007793, RefSeq RNA:NM_004725, UCSC Genome Browser:NM_004725, UniProtKB:O43684	No	chr10	124913760	124924886	123154244	123165370
PA144596512	84811	HGNC:28199	ENSG00000137656	BUD13 homolog	BUD13	BUD13 homolog, BUD13 homolog (S. cerevisiae), functional spliceosome-associated protein 71	Cwc26, MGC13125, fSAP71	Yes	No	Comparative Toxicogenomics Database:84811, Ensembl:ENSG00000137656, GeneCard:BUD13, HGNC:HGNC:28199, HumanCyc Gene:HS13689, ModBase:Q9BRD0, NCBI Gene:84811, RefSeq DNA:NT_033899, RefSeq Protein:NP_001153208, RefSeq Protein:NP_116114, RefSeq RNA:NM_001159736, RefSeq RNA:NM_032725, UniProtKB:Q9BRD0	No	chr11	116618886	116643714	116748170	116772998
PA38133	114049	HGNC:16405	ENSG00000071462	BUD23 rRNA methyltransferase and ribosome maturation factor	BUD23	"""BUD23, rRNA methyltransferase and ribosome maturation factor"", ""Williams Beuren syndrome chromosome region 22"", ""metastasis-related methyltransferase 1"""	MERM1, MGC19709, MGC2022, MGC5140, PP3381, WBMT, WBSCR22	Yes	No	Comparative Toxicogenomics Database:114049, Ensembl:ENSG00000071462, GenAtlas:WBSCR22, GeneCard:WBSCR22, HGNC:HGNC:16405, HumanCyc Gene:HS01031, ModBase:O43709, NCBI Gene:114049, RefSeq DNA:NT_007933, RefSeq DNA:NT_079593, RefSeq Protein:NP_001189489, RefSeq Protein:NP_059998, RefSeq RNA:NM_001202560, RefSeq RNA:NM_017528, RefSeq RNA:NR_037776, UCSC Genome Browser:NM_017528, UniProtKB:A8K501, UniProtKB:O43709	No	chr7	73097898	73112551	73683568	73698221
PA144596513	8896	HGNC:29629	ENSG00000106245	BUD31 homolog	BUD31	BUD31 homolog, BUD31 homolog (S. cerevisiae), G10 maternal transcript homolog (Xenopus laevis), functional spliceosome-associated protein 17	Cwc14, EDG-2, EDG2, G10, YCR063W, fSAP17	Yes	No	Ensembl:ENSG00000106245, GeneCard:BUD31, HGNC:HGNC:29629, HumanCyc Gene:HS02874, NCBI Gene:8896, OMIM:603477, RefSeq DNA:NT_007933, RefSeq DNA:NT_079595, RefSeq Protein:NP_003901, RefSeq RNA:NM_003910, UniProtKB:P41223	No	chr7	99006243	99017239	99408620	99419616
PA134909137	154442	HGNC:21223	ENSG00000203808	BVES antisense RNA 1	BVES-AS1		bA99L11.2	Yes	No	Ensembl:ENSG00000203808, GeneCard:C6orf112, HGNC:HGNC:21223, NCBI Gene:154442, RefSeq RNA:NR_037157	No	chr6	105585562	105617820	105137687	105169945
PA25470	700	HGNC:1153		Burkitt lymphoma variant rearranging region 1	BVR1			Yes	No	GenAtlas:BVR1, GeneCard:BVR1, HGNC:HGNC:1153, NCBI Gene:700	No	chr8				
PA25472	705	HGNC:1157	ENSG00000112578	bystin like	BYSL	bystin-like	Enp1	Yes	No	Comparative Toxicogenomics Database:705, Ensembl:ENSG00000112578, GenAtlas:BYSL, GeneCard:BYSL, HGNC:HGNC:1157, HumanCyc Gene:HS03591, ModBase:Q13895, NCBI Gene:705, OMIM:603871, RefSeq DNA:NT_007592, RefSeq Protein:NP_004044, RefSeq RNA:NM_004053, UCSC Genome Browser:NM_004053, UniProtKB:Q13895	No	chr6	41888965	41900784	41921227	41933046
PA38535	9689	HGNC:18380	ENSG00000082153	basic leucine zipper and W2 domains 1	BZW1	eIF5-mimic protein 2	5MP2, BZAP45, KIAA0005	Yes	No	Comparative Toxicogenomics Database:9689, Ensembl:ENSG00000082153, GenAtlas:BZW1, GeneCard:BZW1, HGNC:HGNC:18380, HumanCyc Gene:HS01414, ModBase:Q7L1Q6, NCBI Gene:9689, RefSeq DNA:NT_005403, RefSeq Protein:NP_001193996, RefSeq Protein:NP_001193997, RefSeq Protein:NP_001193998, RefSeq Protein:NP_055485, RefSeq RNA:NM_001207067, RefSeq RNA:NM_001207068, RefSeq RNA:NM_001207069, RefSeq RNA:NM_014670, UCSC Genome Browser:NM_014670, UniProtKB:Q7L1Q6	No	chr2	201676262	201688569	200811546	200823851
PA142672534	391592	HGNC:31378	ENSG00000236686	basic leucine zipper and W2 domains 1 pseudogene 1	BZW1P1			Yes	No	Ensembl:ENSG00000236686, GeneCard:BZW1P1, HGNC:HGNC:31378, NCBI Gene:391592, RefSeq DNA:NG_008827, RefSeq DNA:NT_005612	No	chr3	172141985	172144887	172424195	172427097
PA38690	28969	HGNC:18808	ENSG00000136261	basic leucine zipper and W2 domains 2	BZW2	eIF5-mimic protein 1	5MP1, HSPC028, MST017, MSTP017	Yes	No	Comparative Toxicogenomics Database:28969, Ensembl:ENSG00000136261, GenAtlas:BZW2, GeneCard:BZW2, HGNC:HGNC:18808, HumanCyc Gene:HS06140, ModBase:Q9Y6E2, NCBI Gene:28969, RefSeq DNA:NT_007819, RefSeq DNA:NT_079592, RefSeq Protein:NP_001153239, RefSeq Protein:NP_054757, RefSeq RNA:NM_001159767, RefSeq RNA:NM_001362717, RefSeq RNA:NM_014038, UCSC Genome Browser:NM_014038, UniProtKB:Q9Y6E2	No	chr7	16685759	16746148	16646134	16706523
PA134923659	414152	HGNC:20304	ENSG00000214688	chromosome 10 open reading frame 105	C10orf105		FLJ00245	Yes	No	Ensembl:ENSG00000214688, GeneCard:C10orf105, HGNC:HGNC:20304, NCBI Gene:414152, RefSeq DNA:NT_030059, RefSeq Protein:NP_001157847, RefSeq Protein:NP_001161862, RefSeq Protein:XP_001715821, RefSeq Protein:XP_001716092, RefSeq Protein:XP_001723341, RefSeq RNA:NM_001164375, RefSeq RNA:NM_001168390, RefSeq RNA:XM_001715769, RefSeq RNA:XM_001716040, RefSeq RNA:XM_001723289, UniProtKB:Q8TEF2	No	chr10	73471458	73497581	71711701	71737824
PA134871711	399814	HGNC:25707	ENSG00000183559	chromosome 10 open reading frame 120	C10orf120		bA318C4.1	Yes	No	Ensembl:ENSG00000183559, GeneCard:C10orf120, HGNC:HGNC:25707, NCBI Gene:399814, RefSeq DNA:NT_030059, RefSeq Protein:NP_001010912, RefSeq RNA:NM_001010912, UniProtKB:Q5SQS8	No	chr10	124457225	124459338	122697709	122699822
PA134979977	283080	HGNC:28693		chromosome 10 open reading frame 126	C10orf126		MGC45541, bA492M23.1	Yes	No	GeneCard:C10orf126, HGNC:HGNC:28693, HumanCyc Gene:HS16546, NCBI Gene:283080	No	chr10	29135337	29170827	28846408	28881898
PA166180574	387723	HGNC:48677	ENSG00000237489	chromosome 10 open reading frame 143	C10orf143		LINC00959	Yes	No	Ensembl:ENSG00000237489, HGNC:HGNC:48677, NCBI Gene:387723	No		0	0	0	0
PA134895627	282966	HGNC:27421	ENSG00000178645	chromosome 10 open reading frame 53	C10orf53		Em:AC069546.1	Yes	No	Ensembl:ENSG00000178645, GeneCard:C10orf53, HGNC:HGNC:27421, NCBI Gene:282966, RefSeq DNA:NT_030059, RefSeq Protein:NP_001035892, RefSeq Protein:NP_872360, RefSeq RNA:NM_001042427, RefSeq RNA:NM_182554, UniProtKB:B9ZVK6, UniProtKB:Q8N6V4	No	chr10	50887684	50916956	49679638	49708910
PA134866694	414236	HGNC:31008	ENSG00000222047	chromosome 10 open reading frame 55	C10orf55		bA417O11.3	Yes	No	Ensembl:ENSG00000222047, GeneCard:C10orf55, HGNC:HGNC:31008, NCBI Gene:414236, RefSeq DNA:NT_030059, RefSeq Protein:NP_001001791, RefSeq RNA:NM_001001791, UniProtKB:Q5SWW7	No	chr10	75669727	75682535	73909969	73922777
PA134924151	414157	HGNC:23294	ENSG00000203942	chromosome 10 open reading frame 62	C10orf62		bA548K23.1	Yes	No	Ensembl:ENSG00000203942, GeneCard:C10orf62, HGNC:HGNC:23294, NCBI Gene:414157, RefSeq DNA:NT_030059, RefSeq Protein:NP_001009997, RefSeq RNA:NM_001009997, UniProtKB:Q5T681	No	chr10	99349450	99350691	97589693	97590934
PA134915530	256815	HGNC:28716	ENSG00000179133	chromosome 10 open reading frame 67	C10orf67		C10orf115, LINC01552, MGC46732, bA215C7.4	Yes	No	Comparative Toxicogenomics Database:256815, Ensembl:ENSG00000179133, GeneCard:C10orf67, HGNC:HGNC:28716, HumanCyc Gene:HS17208, ModBase:Q8IYJ2, NCBI Gene:256815, RefSeq DNA:NT_008705, RefSeq Protein:NP_714925, RefSeq RNA:NM_153714, UniProtKB:Q8IYJ2	No	chr10	23605520	23633772	23202851	23345216
PA134920715	118461	HGNC:26973	ENSG00000177354	chromosome 10 open reading frame 71	C10orf71	cardiac enriched FHL2 interacting protein	CEFIP, FLJ45913	Yes	No	Ensembl:ENSG00000177354, GeneCard:C10orf71, HGNC:HGNC:26973, NCBI Gene:118461, RefSeq DNA:NT_030059, RefSeq Protein:NP_001128668, RefSeq Protein:NP_955629, RefSeq RNA:NM_001135196, RefSeq RNA:NM_199459, UniProtKB:Q711Q0	No	chr10	50505118	50535537	49297009	49330145
PA134993933	80007	HGNC:25822	ENSG00000119965	chromosome 10 open reading frame 88	C10orf88	protein associated with ABC transporters	Em:AC073585.5, FLJ13490, PAAT	Yes	No	Ensembl:ENSG00000119965, GeneCard:C10orf88, HGNC:HGNC:25822, HumanCyc Gene:HS04356, ModBase:Q9H8K7, NCBI Gene:80007, RefSeq DNA:NT_030059, RefSeq Protein:NP_079218, RefSeq RNA:NM_024942, UniProtKB:Q9H8K7	No	chr10	124690419	124713919	122930903	122954403
PA134895930	118611	HGNC:26563	ENSG00000154493	chromosome 10 open reading frame 90	C10orf90	fragile-site associated tumor suppressor	FATS, FLJ32938, bA422P15.2	Yes	No	Ensembl:ENSG00000154493, GeneCard:C10orf90, HGNC:HGNC:26563, ModBase:Q96M02, NCBI Gene:118611, RefSeq DNA:NT_030059, RefSeq Protein:NP_001004298, RefSeq RNA:NM_001004298, UniProtKB:Q96M02	No	chr10	128113566	128213444	126424997	126671038
PA134908188	79946	HGNC:25880	ENSG00000120055	chromosome 10 open reading frame 95	C10orf95		FLJ14280	Yes	No	Ensembl:ENSG00000120055, GeneCard:C10orf95, HGNC:HGNC:25880, HumanCyc Gene:HS12975, ModBase:Q9H7T3, NCBI Gene:79946, RefSeq DNA:NT_030059, RefSeq Protein:NP_079162, RefSeq RNA:NM_024886, UniProtKB:Q9H7T3	No	chr10	104209594	104211300	102449837	102451543
PA25483	56673	HGNC:1169	ENSG00000176029	chromosome 11 open reading frame 16	C11orf16			Yes	No	Ensembl:ENSG00000176029, GenAtlas:C11orf16, GeneCard:C11orf16, HGNC:HGNC:1169, HumanCyc Gene:HS16569, NCBI Gene:56673, RefSeq DNA:NT_009237, RefSeq Protein:NP_065694, RefSeq RNA:NM_020643, UCSC Genome Browser:NM_020643	No	chr11	8941623	8954553	8920076	8933006
PA25486	29125	HGNC:13231	ENSG00000110665	chromosome 11 open reading frame 21	C11orf21			Yes	No	Ensembl:ENSG00000110665, GenAtlas:C11orf21, GeneCard:C11orf21, HGNC:HGNC:13231, HumanCyc Gene:HS12725, NCBI Gene:29125, OMIM:611033, RefSeq DNA:NT_009237, RefSeq Protein:NP_001136418, RefSeq RNA:NM_001142946, RefSeq RNA:NR_024621, UCSC Genome Browser:NM_014144, UniProtKB:Q9P2W6	No	chr11	2317507	2323143	2296277	2301913
PA25488	53838	HGNC:1174	ENSG00000171067	chromosome 11 open reading frame 24	C11orf24		DM4E3	Yes	No	Ensembl:ENSG00000171067, GenAtlas:C11orf24, GeneCard:C11orf24, HGNC:HGNC:1174, HumanCyc Gene:HS15946, ModBase:Q96F05, NCBI Gene:53838, OMIM:610880, RefSeq DNA:NT_167190, RefSeq Protein:NP_071733, RefSeq RNA:NM_022338, UCSC Genome Browser:NM_022338, UniProtKB:Q96F05	No	chr11	68028803	68039469	68261335	68272001
PA166352345		HGNC:14532		chromosome 11 open reading frame 26	C11orf26			Yes	No	HGNC:HGNC:14532	No		0	0	0	0
PA142672300	143501	HGNC:23986	ENSG00000171987	chromosome 11 open reading frame 40	C11orf40		NOV1	Yes	No	Ensembl:ENSG00000171987, GeneCard:C11orf40, HGNC:HGNC:23986, HumanCyc Gene:HS16046, ModBase:Q8WZ69, NCBI Gene:143501, RefSeq DNA:NT_009237, RefSeq Protein:NP_653264, RefSeq RNA:NM_144663, UniProtKB:Q8WZ69	No	chr11	4592653	4599050	4571423	4577820
PA142672287	160298	HGNC:28541	ENSG00000180878	chromosome 11 open reading frame 42	C11orf42		MGC34805	Yes	No	Ensembl:ENSG00000180878, GeneCard:C11orf42, HGNC:HGNC:28541, HumanCyc Gene:HS17585, NCBI Gene:160298, RefSeq DNA:NT_009237, RefSeq Protein:NP_775796, RefSeq RNA:NM_173525, UniProtKB:Q8N5U0	No	chr11	6226798	6232365	6202997	6226783
PA143485347	91894	HGNC:30531	ENSG00000149300	chromosome 11 open reading frame 52	C11orf52		FLJ25219, MGC14839	Yes	No	Ensembl:ENSG00000149300, GeneCard:C11orf52, HGNC:HGNC:30531, HumanCyc Gene:HS14276, NCBI Gene:91894, RefSeq DNA:NT_033899, RefSeq Protein:NP_542390, RefSeq RNA:NM_080659, UniProtKB:Q96A22	No	chr11	111789601	111797595	111918877	111926871
PA143485349	28970	HGNC:30204	ENSG00000182919	chromosome 11 open reading frame 54	C11orf54	chromosome 11 open reading frame 54	C11orf54, MEEP, PTD012	Yes	No	Comparative Toxicogenomics Database:28970, Ensembl:ENSG00000182919, GeneCard:C11orf54, HGNC:HGNC:30204, NCBI Gene:28970, RefSeq DNA:NT_167190, RefSeq Protein:NP_054758, RefSeq RNA:NM_014039, UniProtKB:Q9H0W9	No	chr11	93474769	93496250	93741594	93765323
PA143485353	10944	HGNC:16990	ENSG00000110696	chromosome 11 open reading frame 58	C11orf58	small acidic protein	Hero20, SMAP	Yes	No	Ensembl:ENSG00000110696, GeneCard:C11orf58, HGNC:HGNC:16990, HumanCyc Gene:HS03327, ModBase:O00193, NCBI Gene:10944, RefSeq DNA:NT_009237, RefSeq Protein:NP_001136177, RefSeq Protein:NP_055082, RefSeq RNA:NM_001142705, RefSeq RNA:NM_014267, UniProtKB:O00193	No	chr11	16760148	16779901	16738601	16758354
PA144596484	160140	HGNC:28519	ENSG00000166323	chromosome 11 open reading frame 65	C11orf65	mitochondrial fission factor interactor	MFI, MGC33948	Yes	Yes	Ensembl:ENSG00000166323, GeneCard:C11orf65, HGNC:HGNC:28519, HumanCyc Gene:HS15428, ModBase:Q8NCR3, NCBI Gene:160140, RefSeq DNA:NT_033899, RefSeq Protein:NP_689800, RefSeq RNA:NM_152587, UniProtKB:Q8NCR3	No	chr11	108179012	108338258	108307344	108469832
PA144596487	83638	HGNC:28801	ENSG00000175573	chromosome 11 open reading frame 68	C11orf68	basophilic leukemia-expressed protein	BLES03, P5326	Yes	No	Ensembl:ENSG00000175573, GeneCard:C11orf68, HGNC:HGNC:28801, HumanCyc Gene:HS16475, NCBI Gene:83638, RefSeq DNA:NT_167190, RefSeq Protein:NP_001129107, RefSeq Protein:NP_113638, RefSeq RNA:NM_001135635, RefSeq RNA:NM_031450, UniProtKB:Q9H3H3	No	chr11	65684281	65686531	65916810	65919060
PA144596490	54494	HGNC:25937	ENSG00000180425	chromosome 11 open reading frame 71	C11orf71		FLJ20010	Yes	No	Ensembl:ENSG00000180425, GeneCard:C11orf71, HGNC:HGNC:25937, HumanCyc Gene:HS17505, NCBI Gene:54494, RefSeq DNA:NT_033899, RefSeq Protein:NP_061894, RefSeq RNA:NM_019021, UniProtKB:Q6IPW1, UniProtKB:Q99865	No	chr11	114262170	114271272	114391448	114400550
PA162377813	254439	HGNC:34442	ENSG00000173237	chromosome 11 open reading frame 86	C11orf86	fasting and CREB-H induced	FACI, FLJ22675	Yes	No	Ensembl:ENSG00000173237, GeneCard:C11orf86, HGNC:HGNC:34442, NCBI Gene:254439, RefSeq DNA:NT_167190, RefSeq Protein:NP_001129957, RefSeq RNA:NM_001136485, UniProtKB:A6NJI1	No	chr11	66742754	66744479	66975283	66977008
